season,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,HR,wOBA,Launch_Angle,GB/FB,HR/FB,GB%,FB%
2024,0.243,0.312,0.399,0.711,0.156,0.291,0.082,0.226,5453,0.31,13.3,1.11,11.60%,42.20%,38.10%
2023,0.248,0.32,0.414,0.734,0.166,0.297,0.086,0.227,5868,0.318,12.8,1.13,12.70%,42.50%,37.50%
2022,0.243,0.312,0.395,0.706,0.152,0.29,0.082,0.224,5215,0.31,12.7,1.15,11.40%,42.90%,37.20%
2021,0.244,0.317,0.411,0.728,0.167,0.292,0.087,0.232,5944,0.314,12.6,1.18,13.60%,42.90%,36.50%
2020,0.245,0.322,0.418,0.74,0.173,0.292,0.092,0.234,2304,0.32,12.7,1.2,14.80%,42.70%,35.70%
2019,0.252,0.323,0.435,0.758,0.183,0.298,0.085,0.23,6776,0.32,12.7,1.2,15.30%,42.90%,35.70%
2018,0.248,0.318,0.409,0.728,0.161,0.296,0.085,0.223,5585,0.315,12.3,1.22,12.70%,43.20%,35.40%
2017,0.255,0.324,0.426,0.75,0.171,0.3,0.085,0.216,6105,0.321,11.8,1.24,13.70%,44.20%,35.50%
2016,0.255,0.322,0.417,0.739,0.162,0.3,0.082,0.211,5610,0.318,11.6,1.29,12.80%,44.70%,34.60%
2015,0.254,0.317,0.405,0.721,0.15,0.299,0.077,0.204,4909,0.313,10.9,1.34,11.40%,45.30%,33.80%
2014,0.251,0.314,0.386,0.7,0.135,0.299,0.076,0.204,4186,0.31,,1.3,9.50%,44.80%,34.40%
2013,0.253,0.318,0.396,0.714,0.143,0.297,0.079,0.199,4661,0.314,,1.3,10.50%,44.50%,34.30%
2012,0.255,0.319,0.405,0.724,0.151,0.297,0.08,0.198,4934,0.315,,1.33,11.30%,45.10%,34.00%
2011,0.255,0.321,0.399,0.72,0.144,0.295,0.081,0.186,4552,0.316,,1.24,9.70%,44.40%,36.00%
2010,0.257,0.325,0.403,0.728,0.145,0.297,0.085,0.185,4613,0.321,,1.18,9.40%,44.30%,37.50%
2009,0.262,0.333,0.418,0.751,0.155,0.299,0.089,0.18,5042,0.329,,1.15,10.10%,43.30%,37.80%
2008,0.264,0.333,0.416,0.749,0.152,0.3,0.087,0.175,4878,0.328,,1.22,10.10%,43.90%,35.90%
2007,0.268,0.336,0.423,0.758,0.155,0.303,0.085,0.171,4957,0.331,,1.15,9.60%,43.50%,37.90%
2006,0.269,0.337,0.432,0.768,0.163,0.301,0.084,0.168,5386,0.332,,1.19,10.80%,43.70%,36.70%
2005,0.264,0.33,0.419,0.749,0.154,0.295,0.082,0.164,5017,0.326,,1.27,10.60%,44.20%,34.90%
2004,0.266,0.335,0.428,0.763,0.162,0.297,0.086,0.169,5451,0.33,,1.23,11.20%,44.10%,35.90%
2003,0.264,0.333,0.422,0.755,0.158,0.294,0.085,0.164,5207,0.328,,1.26,11.20%,43.30%,34.20%
2002,0.261,0.331,0.417,0.748,0.155,0.293,0.087,0.168,5059,0.326,,1.23,10.70%,43.50%,35.30%
2001,0.264,0.332,0.427,0.759,0.163,0.296,0.085,0.173,5458,0.327
2000,0.27,0.345,0.437,0.782,0.167,0.3,0.096,0.165,5693,0.341
1999,0.271,0.345,0.434,0.778,0.163,0.302,0.094,0.164,5528,0.341
1998,0.266,0.335,0.42,0.755,0.154,0.3,0.087,0.169,5064,0.331
1997,0.267,0.337,0.419,0.756,0.152,0.301,0.089,0.171,4640,0.332
1996,0.27,0.34,0.427,0.767,0.157,0.301,0.091,0.165,4962,0.335
1995,0.267,0.338,0.417,0.755,0.15,0.298,0.091,0.162,4081,0.333
1994,0.27,0.339,0.424,0.763,0.155,0.3,0.089,0.159,3306,0.333
1993,0.265,0.332,0.403,0.736,0.138,0.294,0.087,0.151,4030,0.327
1992,0.256,0.322,0.377,0.7,0.122,0.285,0.085,0.147,3038,0.317
1991,0.256,0.323,0.385,0.708,0.129,0.285,0.087,0.152,3383,0.318
1990,0.258,0.325,0.385,0.71,0.128,0.287,0.086,0.149,3317,0.319
